x_m,y_m,elevation_m,x_sim,y_sim,z_sim
6.365841784212971106e+02,1.074872366496594623e+03,3.602223587036132812e+01,1.273168356842594306e+01,2.149744732993189444e+01,7.204447174072265980e-01
6.668639489163761027e+02,1.074836218304932117e+03,4.032950973510742188e+01,1.333727897832752163e+01,2.149672436609864334e+01,8.065901947021484331e-01
6.971437186090624891e+02,1.074800099708139896e+03,4.685748291015625000e+01,1.394287437218125092e+01,2.149600199416279978e+01,9.371496582031250133e-01
7.274234874986577779e+02,1.074764010706450790e+03,4.945880126953125000e+01,1.454846974997315634e+01,2.149528021412901779e+01,9.891760253906249911e-01
7.577032555858022533e+02,1.074727951299399137e+03,4.699164962768554688e+01,1.515406511171604542e+01,2.149455902598798218e+01,9.398329925537109997e-01
7.879830228711361997e+02,1.074691921487450600e+03,4.376611709594726562e+01,1.575966045742272392e+01,2.149383842974901171e+01,8.753223419189453125e-01
8.182627893553581089e+02,1.074655921270139515e+03,4.470896148681640625e+01,1.636525578710716289e+01,2.149311842540279116e+01,8.941792297363281294e-01
8.485425550376530737e+02,1.074619950648164377e+03,4.513972473144531250e+01,1.697085110075306247e+01,2.149239901296328625e+01,9.027944946289062633e-01
8.788223199216299690e+02,1.074584009620826691e+03,3.821363830566406250e+01,1.757644639843260137e+01,2.149168019241653482e+01,7.642727661132813211e-01
9.091020840077544563e+02,1.074548098188592121e+03,3.304131317138671875e+01,1.818204168015509126e+01,2.149096196377184143e+01,6.608262634277344283e-01
9.393818472926504910e+02,1.074512216350995004e+03,3.174952316284179688e+01,1.878763694585300925e+01,2.149024432701990150e+01,6.349904632568359464e-01
9.696616097810911015e+02,1.074476364108733833e+03,3.103508949279785156e+01,1.939323219562182388e+01,2.148952728217467723e+01,6.207017898559570312e-01
9.999413714723195881e+02,1.074440541460877284e+03,2.515548896789550781e+01,1.999882742944639347e+01,2.148881082921754526e+01,5.031097793579101252e-01
1.030221132365637459e+03,1.074404748408356681e+03,1.897557067871093750e+01,2.060442264731274875e+01,2.148809496816713249e+01,3.795114135742187478e-01
1.060500892465817742e+03,1.074368984950240701e+03,1.328405952453613281e+01,2.121001784931635470e+01,2.148737969900481559e+01,2.656811904907226407e-01
1.090780651769484393e+03,1.074333251087227836e+03,6.569147586822509766e+00,2.181561303538968843e+01,2.148666502174455673e+01,1.313829517364502042e-01
1.121060410278558265e+03,1.074297546819318086e+03,7.114002227783203125e+00,2.242120820557116545e+01,2.148595093638636300e+01,1.422800445556640647e-01
1.151340167992340866e+03,1.074261872146278620e+03,1.133273696899414062e+01,2.302680335984681648e+01,2.148523744292557325e+01,2.266547393798828136e-01
3.640292541572125629e+02,1.044483202956384048e+03,4.972782135009765625e+01,7.280585083144251790e+00,2.088966405912768209e+01,9.945564270019531250e-01
3.943090619380236603e+02,1.044446789231384173e+03,4.461676788330078125e+01,7.886181238760473278e+00,2.088893578462768374e+01,8.923353576660156827e-01
4.245888689091079868e+02,1.044410405101021752e+03,3.584788513183593750e+01,8.491777378182160163e+00,2.088820810202043532e+01,7.169577026367187633e-01
4.548686750712222420e+02,1.044374050565063953e+03,3.316910934448242188e+01,9.097373501424444342e+00,2.088748101130127921e+01,6.633821868896484508e-01
4.851484804248902947e+02,1.044337725623277947e+03,3.454915237426757812e+01,9.702969608497806320e+00,2.088675451246555781e+01,6.909830474853515536e-01
5.154282849708688445e+02,1.044301430275663733e+03,3.481307983398437500e+01,1.030856569941737710e+01,2.088602860551327467e+01,6.962615966796875666e-01
5.457080887097981758e+02,1.044265164522454143e+03,3.675965118408203125e+01,1.091416177419596423e+01,2.088530329044908385e+01,7.351930236816406339e-01
5.759878916409215890e+02,1.044228928363649175e+03,4.083353042602539062e+01,1.151975783281843135e+01,2.088457856727298534e+01,8.166706085205078791e-01
